visit_date,year,weekday,account_number
2019-01-15T13:00:00Z,2019,Tuesday,C0312
2019-01-15T13:00:00Z,2019,Tuesday,C0313
2019-01-15T13:00:00Z,2019,Tuesday,C0316
2019-01-15T13:00:00Z,2019,Tuesday,C0318
2019-01-15T13:00:00Z,2019,Tuesday,C0322
2019-01-15T13:00:00Z,2019,Tuesday,C0341
2019-01-15T13:00:00Z,2019,Tuesday,C0342
2019-01-15T13:00:00Z,2019,Tuesday,C0366
2019-01-15T13:00:00Z,2019,Tuesday,C0371
2019-01-15T13:00:00Z,2019,Tuesday,C0372
2019-01-15T13:00:00Z,2019,Tuesday,C0381
2019-01-15T13:00:00Z,2019,Tuesday,C0415
2019-01-15T13:00:00Z,2019,Tuesday,C0420
2019-01-15T13:00:00Z,2019,Tuesday,C0423
2019-01-15T13:00:00Z,2019,Tuesday,C0429
2019-01-15T13:00:00Z,2019,Tuesday,C0430
2019-01-15T13:00:00Z,2019,Tuesday,C0437
2019-01-15T13:00:00Z,2019,Tuesday,C0449
2019-01-15T13:00:00Z,2019,Tuesday,C0456
2019-01-15T13:00:00Z,2019,Tuesday,C0468
2019-01-15T13:00:00Z,2019,Tuesday,C0473
2019-01-15T13:00:00Z,2019,Tuesday,C0474
2019-01-15T13:00:00Z,2019,Tuesday,C0479
2019-01-15T13:00:00Z,2019,Tuesday,C0514
2019-01-15T13:00:00Z,2019,Tuesday,C0533
2019-01-15T13:00:00Z,2019,Tuesday,C0537
2019-01-15T13:00:00Z,2019,Tuesday,C0555
2019-01-15T13:00:00Z,2019,Tuesday,C0573
2019-01-15T13:00:00Z,2019,Tuesday,C0576
2019-01-15T13:00:00Z,2019,Tuesday,C0600
2019-01-15T13:00:00Z,2019,Tuesday,C0601
2019-01-15T13:00:00Z,2019,Tuesday,C0604
2019-01-15T13:00:00Z,2019,Tuesday,C0612
2019-01-15T13:00:00Z,2019,Tuesday,C0619
2019-01-15T13:00:00Z,2019,Tuesday,C0632
2019-01-15T13:00:00Z,2019,Tuesday,C0633
2019-01-15T13:00:00Z,2019,Tuesday,C0638
2019-01-15T13:00:00Z,2019,Tuesday,C0640
2019-01-15T13:00:00Z,2019,Tuesday,C0660
2019-01-15T13:00:00Z,2019,Tuesday,C0669
2019-01-15T13:00:00Z,2019,Tuesday,C0671
2019-01-15T13:00:00Z,2019,Tuesday,C0672
2019-01-15T13:00:00Z,2019,Tuesday,C0679
2019-01-15T13:00:00Z,2019,Tuesday,C0694
2019-01-15T13:00:00Z,2019,Tuesday,C0696
2019-01-15T13:00:00Z,2019,Tuesday,C0700
2019-01-15T13:00:00Z,2019,Tuesday,C0702
2019-01-15T13:00:00Z,2019,Tuesday,C0709
2019-01-15T13:00:00Z,2019,Tuesday,C0720
2019-02-09T13:00:00Z,2019,Saturday,C0305
